Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk
P0001,Urban Flyover,Road,Medium,2692743,57,68,69,0.0,0.5,268,Feasible,2,,,4888.91,667364.99,100,100.0,453330.16,42,80.75,687329.46,58,60.95,329930.2,37,41.59,554788.18,31,39.31
P0002,Urban Flyover,Road,Medium,5304572,51,38,22,1.69,0.68,375,Feasible,2,,20 - site prep,9366.85,1300053.37,143,64.92,1011215.64,67,50.57,1286883.83,77,32.5,591731.41,43,25.16,1114687.74,45,16.85
P0003,Industrial Complex,Road,High,5926484,90,50,62,0.3,0.62,219,Not Feasible,3,,generate for each step,9843.4,1295512.12,81,79.63,928254.7,33,67.05,1573794.73,46,44.94,790972.68,31,26.66,1337949.78,28,31.72
P0004,Smart Solar Grid,Road,Medium,3234489,95,58,76,3.28,0.53,174,Borderline,2,,,5632.74,719409.94,66,97.16,477729.36,31,75.88,822267.32,38,47.68,457313.2,20,36.82,757769.17,19,32.46
P0005,Smart Solar Grid,Building,High,2570006,71,62,69,9.08,0.59,305,Not Feasible,3,,,902.78,124183.8,30,56.32,329117.14,33,100.0,736175.53,58,47.71,830829.62,86,66.7,549699.91,98,37.06
P0006,Smart Solar Grid,Bridge,High,2136074,90,91,87,0.97,0.56,439,Feasible,3,,,352.81,124146.97,40,61.94,409355.91,95,100.0,994446.06,177,100.0,325124.31,67,53.1,283000.75,60,33.89
P0007,Urban Flyover,Building,Low,5044887,65,44,69,6.06,0.96,205,Borderline,1,,,1808.32,273645.15,11,38.37,682068.49,24,71.7,1150711.5,46,26.88,1890912.73,58,54.36,1047549.13,66,28.69
P0008,Highway Expansion,Power Plant,Low,2239911,78,31,56,4.51,0.57,293,Not Feasible,1,,,328.45,147537.85,39,24.52,281044.47,48,33.93,368280.89,47,18.79,1173287.42,122,43.4,269760.37,36,34.36
P0009,Urban Flyover,Road,High,5472471,98,81,65,9.38,0.77,587,Feasible,3,,,10347.22,1468493.01,199,100.0,963786.23,103,100.0,1386526.61,126,71.26,599138.87,83,48.23,1054526.28,76,48.93
P0010,Highway Expansion,Road,High,3138242,97,73,61,1.23,0.8,141,Feasible,3,,,9778.43,757203.3,48,100.0,544328.95,27,88.44,802998.14,32,68.79,414422.93,17,46.02,619288.68,17,38.29
P0011,Dam Reinforcement,Road,Low,5523669,79,83,34,2.12,0.77,363,Feasible,1,,,17579.63,1160939.21,125,100.0,1022037.1,69,100.0,1516477.23,76,70.55,711792.81,38,43.5,1112422.65,55,35.9
P0012,Urban Flyover,Power Plant,High,5981505,61,47,52,0.3,0.55,179,Feasible,3,,,885.47,385391.27,19,40.25,813765.56,32,50.88,941863.92,34,31.06,3263193.42,70,62.31,577290.83,25,50.51
P0013,Urban Flyover,Water Infra,High,6564759,84,32,99,4.34,0.66,223,Feasible,3,,,2971.43,930024.16,35,36.93,1089165.97,51,42.59,2930190.03,63,17.49,1051413.21,41,27.8,563965.62,34,35.19
P0014,Urban Flyover,Building,High,2766891,60,36,30,2.78,0.53,258,Feasible,3,,,904.45,94976.75,19,29.27,361883.82,29,57.55,826380.81,55,29.58,924984.36,68,40.65,558665.26,88,22.95
P0015,Smart Solar Grid,Bridge,Medium,5521373,95,72,39,8.7,0.7,422,Not Feasible,2,,,956.25,310978.19,44,59.8,1233068.19,99,100.0,2319336.03,162,100.0,778502.33,56,52.43,879488.26,61,23.56
P0016,Smart Solar Grid,Power Plant,Low,4344769,99,67,43,6.05,0.59,278,Feasible,1,,,596.64,306904.33,41,50.98,636579.38,56,72.62,763196.41,52,45.53,2170607.86,91,89.89,467481.01,38,75.98
P0017,Highway Expansion,Water Infra,High,1791743,70,66,83,6.14,0.78,351,Feasible,3,,,898.53,219683.68,60,79.48,293929.05,88,91.6,740430.39,100,43.12,376060.36,63,56.11,161639.53,40,59.69
P0018,Highway Expansion,Water Infra,High,1103355,70,87,99,5.32,0.85,196,Not Feasible,3,,,506.43,134932.3,36,100.0,197797.56,39,100.0,486873.58,64,56.21,192817.12,31,73.91,90934.44,25,84.03
P0019,Urban Flyover,Bridge,Medium,2262752,54,62,84,0.92,0.77,137,Feasible,2,,,434.67,211284.0,8,41.44,415453.61,41,100.0,957386.96,48,93.8,353367.16,20,45.13,325260.27,21,21.73
P0020,Highway Expansion,Power Plant,Medium,2396025,97,88,92,4.45,0.72,141,Feasible,2,,,384.53,203219.41,14,63.98,313302.57,24,99.0,351479.07,26,60.94,1232087.28,52,100.0,295936.67,25,96.8
P0021,Smart Solar Grid,Water Infra,High,6664789,69,40,95,10.0,0.69,303,Not Feasible,3,,,2915.95,1004942.92,55,50.26,1094442.31,73,53.84,2813609.33,86,22.31,1077355.74,51,37.24,674438.7,38,36.36
P0022,Highway Expansion,Road,Low,6183740,86,97,36,8.35,0.92,264,Feasible,1,,,10070.45,1334036.24,89,100.0,978009.0,49,100.0,1717986.25,64,91.99,709855.51,33,47.62,1443853.0,30,57.04
P0023,Dam Reinforcement,Bridge,Medium,2307371,52,97,80,8.93,0.61,157,Feasible,2,,,466.42,143914.41,12,67.04,400417.48,47,100.0,1089881.36,62,100.0,382587.99,19,72.65,290569.76,17,45.2
P0024,Smart Solar Grid,Road,Low,1917040,93,51,34,8.23,0.87,400,Not Feasible,1,,,4090.45,416277.56,145,89.14,306375.33,66,68.36,518295.19,93,45.47,234406.81,54,24.85,441685.11,42,27.19
P0025,Dam Reinforcement,Bridge,Medium,6743066,82,95,70,1.03,0.88,407,Feasible,2,,,1378.26,425565.8,35,66.36,1580914.83,112,100.0,2958226.91,144,100.0,932181.31,59,62.91,846177.15,58,36.92
P0026,Highway Expansion,Building,Medium,3253882,58,73,46,2.27,0.71,262,Feasible,2,,,1119.04,168609.54,19,57.65,488437.78,33,100.0,840258.0,66,49.49,1188783.54,68,90.62,567793.14,77,45.88
P0027,Industrial Complex,Building,Low,4530409,58,35,93,0.03,0.65,132,Feasible,1,,,2056.83,230977.32,12,28.85,610808.0,18,61.89,1249368.11,25,24.88,1351055.47,33,36.75,1088200.1,43,22.64
P0028,Urban Flyover,Power Plant,High,5849115,53,71,80,3.04,0.74,305,Borderline,3,,,896.01,485227.79,39,56.74,639363.61,62,77.44,1001263.58,54,51.56,2898790.47,102,92.31,824469.54,47,76.95
P0029,Smart Solar Grid,Water Infra,Low,5721339,84,54,77,1.09,0.55,593,Not Feasible,1,,,3083.53,691021.64,101,67.96,1147697.27,126,75.59,2506621.75,199,29.77,1080096.07,100,47.93,295902.27,67,48.75
P0030,Dam Reinforcement,Road,High,5842447,66,86,50,4.73,0.52,553,Feasible,3,,,12368.42,1161633.64,199,100.0,883511.9,87,100.0,1643154.1,120,76.57,822299.15,77,48.36,1331848.22,69,35.23
P0031,Industrial Complex,Water Infra,High,2500942,83,84,31,6.77,0.56,386,Borderline,3,,,1140.53,274704.34,62,97.01,397882.41,77,100.0,1044908.08,125,45.61,532947.16,71,69.62,250500.02,50,93.6
P0032,Industrial Complex,Building,Medium,5260029,73,45,65,8.75,0.59,388,Not Feasible,2,,,2006.75,289210.39,25,44.26,617322.91,58,73.06,1635409.07,70,31.21,1312884.81,100,47.37,1405201.81,136,29.09
P0033,Smart Solar Grid,Road,Medium,4275709,81,43,50,7.49,0.75,216,Feasible,2,,,10131.72,1169216.59,68,74.48,642576.83,43,58.9,1199738.18,46,39.27,442948.6,32,23.39,821228.8,27,18.97
P0034,Smart Solar Grid,Power Plant,Medium,1084654,50,68,51,9.39,0.92,553,Feasible,2,,,127.01,54446.21,66,58.23,124230.25,103,77.09,178544.97,100,46.09,592316.48,225,90.23,135116.1,59,68.36
P0035,Industrial Complex,Water Infra,High,6147581,57,57,51,0.54,0.62,476,Feasible,3,,,2728.49,747926.89,90,65.99,1137610.73,106,79.02,2486842.31,131,38.06,1278944.1,96,46.62,496256.97,54,55.31
P0036,Urban Flyover,Bridge,High,2954354,94,80,72,0.12,0.97,413,Feasible,3,,,614.74,184947.25,24,61.71,525233.89,113,100.0,1444672.57,166,100.0,363824.43,48,52.32,435675.87,62,29.46
P0037,Urban Flyover,Bridge,Low,3416182,72,78,80,6.61,0.98,120,Feasible,1,,,603.81,222093.54,12,54.41,629259.95,32,100.0,1447908.43,47,100.0,537541.53,14,48.34,579378.55,15,28.25
P0038,Dam Reinforcement,Road,Low,4474675,96,38,65,2.89,0.98,414,Feasible,1,,,7274.16,1133242.62,155,67.8,633475.62,66,47.53,1171507.39,96,30.11,590692.68,49,23.85,945756.7,47,20.71
P0039,Urban Flyover,Bridge,Low,3652991,89,87,93,2.54,0.92,146,Not Feasible,1,,,729.35,323197.36,14,72.43,760188.94,38,100.0,1623543.2,51,100.0,514624.47,20,54.1,431437.03,23,31.45
P0040,Industrial Complex,Bridge,Low,3428388,61,74,99,3.31,0.68,155,Feasible,1,,,595.56,208480.34,16,59.97,822250.89,42,100.0,1428786.8,59,100.0,500327.25,19,52.35,468542.72,19,24.08
P0041,Industrial Complex,Building,High,1528178,61,51,26,2.7,0.54,279,Feasible,3,,,477.63,85351.16,28,50.17,209141.29,35,83.89,412438.61,46,39.14,464778.07,82,53.41,356468.86,87,28.4
P0042,Highway Expansion,Power Plant,High,3663046,95,61,23,5.11,0.78,544,Not Feasible,3,,,535.13,274126.68,57,53.5,470428.65,90,71.56,617957.0,98,36.98,1876670.45,211,78.36,423863.23,88,64.59
P0043,Industrial Complex,Bridge,Low,3586644,96,98,71,4.4,0.78,518,Borderline,1,,,630.28,225564.34,45,76.07,629473.47,157,100.0,1657250.48,205,100.0,496877.07,53,60.73,577478.64,58,30.06
P0044,Urban Flyover,Bridge,Low,6499720,64,98,50,5.12,0.92,150,Feasible,1,,,1107.89,496780.53,13,76.35,1463052.46,35,100.0,2857163.43,62,100.0,852003.17,21,62.73,830720.41,20,36.62
P0045,Dam Reinforcement,Water Infra,High,3570406,90,71,94,6.73,1.0,246,Feasible,3,,,1379.1,499032.07,38,83.47,639908.49,55,95.26,1432659.62,76,47.55,763696.92,45,65.32,235108.9,32,63.41
P0046,Highway Expansion,Road,Low,4416664,68,82,55,3.87,0.75,381,Feasible,1,,,7852.18,968790.87,138,100.0,761195.14,64,100.0,1219640.18,78,65.03,539556.49,48,50.14,927481.32,53,37.49
P0047,Urban Flyover,Building,Medium,4385659,75,88,73,2.51,0.67,464,Borderline,2,,,1465.43,262936.59,45,76.96,591578.17,56,100.0,1397150.47,90,67.74,1251358.71,109,92.84,882635.06,164,44.32
P0048,Dam Reinforcement,Road,High,4385357,78,68,73,1.66,0.59,555,Not Feasible,3,,,10267.71,1145967.82,192,100.0,782446.8,108,91.04,1084132.49,114,60.92,479585.84,66,36.9,893224.05,75,40.88
P0049,Urban Flyover,Water Infra,Medium,3795513,71,44,36,3.49,0.5,329,Feasible,2,,,1802.53,382217.26,55,51.59,710879.55,86,58.19,1508357.6,89,27.4,929709.77,60,38.63,264348.82,40,44.19
P0050,Highway Expansion,Water Infra,Medium,2465689,89,58,94,7.42,0.75,269,Not Feasible,2,,,1121.38,292591.93,47,66.86,486238.62,60,78.4,988406.66,81,31.34,501585.69,47,51.92,196866.1,34,61.48
P0051,Industrial Complex,Water Infra,High,1068148,70,32,49,7.57,0.78,150,Not Feasible,3,,,548.24,157406.5,23,36.27,173921.68,35,41.49,440647.94,45,20.9,236921.95,26,28.63,59249.94,21,32.72
P0052,Highway Expansion,Bridge,High,2825665,87,39,41,6.67,0.91,219,Borderline,3,,,625.17,157177.14,23,28.24,619418.91,52,65.18,1283499.93,76,60.71,403757.04,37,25.49,361811.97,31,15.37
P0053,Industrial Complex,Road,Medium,3745683,69,58,62,2.34,0.75,448,Feasible,2,,,7962.37,923333.28,159,97.75,569820.2,82,76.56,979709.37,99,50.61,459574.07,50,35.22,813246.08,59,29.87
P0054,Highway Expansion,Road,Low,4397723,78,64,46,5.88,0.96,421,Feasible,1,,,6470.26,1186361.52,142,100.0,663153.45,80,80.26,1107932.0,101,52.49,487970.98,46,32.29,952305.05,52,39.4
P0055,Smart Solar Grid,Road,Low,4003758,53,35,56,5.71,0.81,570,Feasible,1,,,6708.91,856411.63,219,62.23,640664.31,107,45.61,1100095.92,115,30.92,510632.87,68,21.27,895953.26,61,14.98
P0056,Urban Flyover,Power Plant,High,5056518,56,41,65,4.84,0.92,472,Borderline,3,,,712.63,446769.68,65,31.33,650483.22,90,46.89,724795.21,88,28.16,2714732.4,146,55.65,519737.49,83,42.97
P0057,Urban Flyover,Building,Medium,3669995,77,67,54,5.5,0.57,338,Not Feasible,2,,,1702.29,255969.87,26,57.12,435341.76,51,100.0,1109015.58,58,50.9,930666.86,78,66.12,939000.93,125,42.34
P0058,Smart Solar Grid,Bridge,Medium,5450812,77,48,23,4.92,0.93,372,Feasible,2,,,840.92,439535.17,32,36.73,1284200.03,108,77.99,2402709.66,127,74.27,686356.72,60,28.35,638010.43,44,22.66
P0059,Industrial Complex,Building,High,5997895,53,96,99,5.65,0.84,290,Feasible,3,,,2024.71,250691.07,21,75.89,755492.55,34,100.0,2043374.6,77,68.78,1701388.51,74,100.0,1246948.28,85,64.33
P0060,Urban Flyover,Bridge,High,6091246,71,37,99,7.16,0.59,376,Feasible,3,,,1000.8,519539.33,27,29.86,1171517.03,117,63.41,2474476.77,124,55.46,955274.59,50,20.84,970438.28,59,15.43
