Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk,Site_Prep_Actual_Cost,Site_Prep_Actual_Days,Foundations_Actual_Cost,Foundations_Actual_Days,Structure_Actual_Cost,Structure_Actual_Days,Systems_Actual_Cost,Systems_Actual_Days,Finishing_Actual_Cost,Finishing_Actual_Days,Actual_Cost_Total,Actual_Time_Total,Comp_High,Comp_Low,Comp_Medium
P0001,Urban Flyover,Road,Medium,2692743,57,68,69,0.0,0.5,268,Feasible,,,4888.91,667364.99,100,100.0,453330.16,42,80.75,687329.46,58,60.95,329930.2,37,41.59,554788.18,31,39.31,721830.1,140,481746.69,54,717032.37,68,337907.44,40,566958.39,33,2825474.99,335,False,False,True
P0002,Urban Flyover,Road,Medium,5304572,51,38,22,1.69,0.68,375,Feasible,,20 - site prep,9366.85,1300053.37,143,64.92,1011215.64,67,50.57,1286883.83,77,32.5,591731.41,43,25.16,1114687.74,45,16.85,1390484.91,172,1066981.5,75,1334496.75,79,609262.42,42,1138408.77,42,5539634.35,410,False,False,True
P0003,Industrial Complex,Road,High,5926484,90,50,62,0.3,0.62,219,Not Feasible,,generate for each step,9843.4,1295512.12,81,79.63,928254.7,33,67.05,1573794.73,46,44.94,790972.68,31,26.66,1337949.78,28,31.72,1419866.31,108,1005502.04,42,1669438.67,52,824364.26,32,1401305.06,30,6320476.34,264,True,False,False
P0004,Smart Solar Grid,Road,Medium,3234489,95,58,76,3.28,0.53,174,Borderline,,,5632.74,719409.94,66,97.16,477729.36,31,75.88,822267.32,38,47.68,457313.2,20,36.82,757769.17,19,32.46,802163.44,91,522350.76,39,875504.02,42,481874.08,21,795108.93,19,3477001.23,212,False,False,True
P0005,Smart Solar Grid,Building,High,2570006,71,62,69,9.08,0.59,305,Not Feasible,,,902.78,124183.8,30,56.32,329117.14,33,100.0,736175.53,58,47.71,830829.62,86,66.7,549699.91,98,37.06,143540.2,36,396146.91,48,843986.61,67,969766.9,108,623796.08,106,2977236.7,365,True,False,False
P0006,Smart Solar Grid,Bridge,High,2136074,90,91,87,0.97,0.56,439,Feasible,,,352.81,124146.97,40,61.94,409355.91,95,100.0,994446.06,177,100.0,325124.31,67,53.1,283000.75,60,33.89,133462.03,49,455843.08,138,1107377.09,257,346609.67,79,296198.97,64,2339490.84,587,True,False,False
P0007,Urban Flyover,Building,Low,5044887,65,44,69,6.06,0.96,205,Borderline,,,1808.32,273645.15,11,38.37,682068.49,24,71.7,1150711.5,46,26.88,1890912.73,58,54.36,1047549.13,66,28.69,289681.74,11,745216.48,29,1204668.03,44,2032551.9,64,1098601.42,64,5370719.57,212,False,True,False
P0008,Highway Expansion,Power Plant,Low,2239911,78,31,56,4.51,0.57,293,Not Feasible,,,328.45,147537.85,39,24.52,281044.47,48,33.93,368280.89,47,18.79,1173287.42,122,43.4,269760.37,36,34.36,151624.48,37,291481.92,48,376365.07,43,1228006.58,128,279895.11,36,2327373.16,292,False,True,False
P0009,Urban Flyover,Road,High,5472471,98,81,65,9.38,0.77,587,Feasible,,,10347.22,1468493.01,199,100.0,963786.23,103,100.0,1386526.61,126,71.26,599138.87,83,48.23,1054526.28,76,48.93,1789160.1,289,1174243.15,149,1645158.45,162,695614.64,95,1225147.98,88,6529324.32,783,True,False,False
P0010,Highway Expansion,Road,High,3138242,97,73,61,1.23,0.8,141,Feasible,,,9778.43,757203.3,48,100.0,544328.95,27,88.44,802998.14,32,68.79,414422.93,17,46.02,619288.68,17,38.29,853329.14,70,606984.1,37,879262.02,41,444114.71,19,658753.91,19,3442443.88,186,True,False,False
P0011,Dam Reinforcement,Road,Low,5523669,79,83,34,2.12,0.77,363,Feasible,,,17579.63,1160939.21,125,100.0,1022037.1,69,100.0,1516477.23,76,70.55,711792.81,38,43.5,1112422.65,55,35.9,1273287.14,169,1120943.02,93,1618702.51,91,740577.03,40,1148978.35,55,5902488.05,448,False,True,False
P0012,Urban Flyover,Power Plant,High,5981505,61,47,52,0.3,0.55,179,Feasible,,,885.47,385391.27,19,40.25,813765.56,32,50.88,941863.92,34,31.06,3263193.42,70,62.31,577290.83,25,50.51,403367.57,21,860426.57,37,977087.56,36,3487831.28,86,610177.56,29,6338890.54,209,True,False,False
P0013,Urban Flyover,Water Infra,High,6564759,84,32,99,4.34,0.66,223,Feasible,,,2971.43,930024.16,35,36.93,1089165.97,51,42.59,2930190.03,63,17.49,1051413.21,41,27.8,563965.62,34,35.19,1011484.26,38,1191031.04,57,3127097.31,61,1133437.3,42,612333.69,37,7075383.6,235,True,False,False
P0014,Urban Flyover,Building,High,2766891,60,36,30,2.78,0.53,258,Feasible,,,904.45,94976.75,19,29.27,361883.82,29,57.55,826380.81,55,29.58,924984.36,68,40.65,558665.26,88,22.95,100791.5,20,394591.18,35,877238.37,57,992467.69,75,589227.99,88,2954316.73,275,True,False,False
P0015,Smart Solar Grid,Bridge,Medium,5521373,95,72,39,8.7,0.7,422,Not Feasible,,,956.25,310978.19,44,59.8,1233068.19,99,100.0,2319336.03,162,100.0,778502.33,56,52.43,879488.26,61,23.56,350880.57,52,1444060.04,138,2716200.53,226,872285.4,63,958404.45,59,6341830.99,538,False,False,True
P0016,Smart Solar Grid,Power Plant,Low,4344769,99,67,43,6.05,0.59,278,Feasible,,,596.64,306904.33,41,50.98,636579.38,56,72.62,763196.41,52,45.53,2170607.86,91,89.89,467481.01,38,75.98,328406.81,45,695205.42,68,812432.91,55,2408677.92,118,512133.12,47,4756856.18,333,False,True,False
P0017,Highway Expansion,Water Infra,High,1791743,70,66,83,6.14,0.78,351,Feasible,,,898.53,219683.68,60,79.48,293929.05,88,91.6,740430.39,100,43.12,376060.36,63,56.11,161639.53,40,59.69,252497.8,80,341626.25,123,822363.28,112,422874.9,75,182377.65,49,2021739.88,439,True,False,False
P0018,Highway Expansion,Water Infra,High,1103355,70,87,99,5.32,0.85,196,Not Feasible,,,506.43,134932.3,36,100.0,197797.56,39,100.0,486873.58,64,56.21,192817.12,31,73.91,90934.44,25,84.03,156752.84,52,229784.33,57,543091.85,77,218685.65,40,104106.18,34,1252420.85,260,True,False,False
P0019,Urban Flyover,Bridge,Medium,2262752,54,62,84,0.92,0.77,137,Feasible,,,434.67,211284.0,8,41.44,415453.61,41,100.0,957386.96,48,93.8,353367.16,20,45.13,325260.27,21,21.73,217384.05,9,451483.65,57,1034551.78,65,364857.52,22,328317.45,20,2396594.45,173,False,False,True
P0020,Highway Expansion,Power Plant,Medium,2396025,97,88,92,4.45,0.72,141,Feasible,,,384.53,203219.41,14,63.98,313302.57,24,99.0,351479.07,26,60.94,1232087.28,52,100.0,295936.67,25,96.8,221072.59,17,352044.77,33,381264.64,31,1385703.78,73,331865.77,34,2671951.55,188,False,False,True
P0021,Smart Solar Grid,Water Infra,High,6664789,69,40,95,10.0,0.69,303,Not Feasible,,,2915.95,1004942.92,55,50.26,1094442.31,73,53.84,2813609.33,86,22.31,1077355.74,51,37.24,674438.7,38,36.36,1167001.75,64,1275266.18,86,3180384.97,86,1235582.29,55,772834.34,41,7631069.53,332,True,False,False
P0022,Highway Expansion,Road,Low,6183740,86,97,36,8.35,0.92,264,Feasible,,,10070.45,1334036.24,89,100.0,978009.0,49,100.0,1717986.25,64,91.99,709855.51,33,47.62,1443853.0,30,57.04,1540940.51,121,1129694.72,66,1969989.47,84,780906.97,35,1602654.7,34,7024186.37,340,False,True,False
P0023,Dam Reinforcement,Bridge,Medium,2307371,52,97,80,8.93,0.61,157,Feasible,,,466.42,143914.41,12,67.04,400417.48,47,100.0,1089881.36,62,100.0,382587.99,19,72.65,290569.76,17,45.2,163755.48,15,469695.68,66,1278447.09,87,437623.08,24,323862.5,19,2673383.83,211,False,False,True
P0024,Smart Solar Grid,Road,Low,1917040,93,51,34,8.23,0.87,400,Not Feasible,,,4090.45,416277.56,145,89.14,306375.33,66,68.36,518295.19,93,45.47,234406.81,54,24.85,441685.11,42,27.19,472750.7,188,341300.47,78,565007.52,99,250493.24,51,473073.93,40,2102625.86,456,False,True,False
P0025,Dam Reinforcement,Bridge,Medium,6743066,82,95,70,1.03,0.88,407,Feasible,,,1378.26,425565.8,35,66.36,1580914.83,112,100.0,2958226.91,144,100.0,932181.31,59,62.91,846177.15,58,36.92,449241.54,42,1721513.77,157,3221317.34,201,980858.2,70,868592.12,61,7241522.97,531,False,False,True
P0026,Highway Expansion,Building,Medium,3253882,58,73,46,2.27,0.71,262,Feasible,,,1119.04,168609.54,19,57.65,488437.78,33,100.0,840258.0,66,49.49,1188783.54,68,90.62,567793.14,77,45.88,178656.54,22,538265.74,46,883457.72,74,1298886.04,91,594931.28,84,3494197.32,317,False,False,True
P0027,Industrial Complex,Building,Low,4530409,58,35,93,0.03,0.65,132,Feasible,,,2056.83,230977.32,12,28.85,610808.0,18,61.89,1249368.11,25,24.88,1351055.47,33,36.75,1088200.1,43,22.64,228554.09,12,623809.3,21,1231490.41,24,1347146.49,33,1070284.26,40,4501284.55,130,False,True,False
P0028,Urban Flyover,Power Plant,High,5849115,53,71,80,3.04,0.74,305,Borderline,,,896.01,485227.79,39,56.74,639363.61,62,77.44,1001263.58,54,51.56,2898790.47,102,92.31,824469.54,47,76.95,530010.76,47,712052.28,82,1088311.83,63,3272906.57,143,917785.16,62,6521066.6,397,True,False,False
P0029,Smart Solar Grid,Water Infra,Low,5721339,84,54,77,1.09,0.55,593,Not Feasible,,,3083.53,691021.64,101,67.96,1147697.27,126,75.59,2506621.75,199,29.77,1080096.07,100,47.93,295902.27,67,48.75,718020.61,119,1201059.1,154,2511419.8,194,1101247.5,107,301932.97,72,5833679.98,646,False,True,False
